IFSC,MICR,BRANCH,ADDRESS,STATE,CONTACT,UPI,RTGS,CITY,CENTRE,DISTRICT,NEFT,IMPS,SWIFT,ISO3166,BANK,BANKCODE,ElectoralBonds Branch Code
goSBIN0000800,600002025,CHENNAI MAIN,"84 RAJAJI SALAI, CHENNAI, TAMILNADU 600 001",TAMIL NADU,,True,True,CHENNAI,CHENNAI,CHENNAI,True,True,,IN-TN,State Bank of India,SBIN,800
SBIN0000847,500002002,HYDERABAD MAIN,"BANK STREET, KOTI, HYDERABAD, ANDHRA PRADESH 500095",ANDHRA PRADESH,,True,True,HYDERABAD,HYDERABAD URBAN,HYDERABAD URBAN,True,True,SBININBB122,IN-AP,State Bank of India,SBIN,847
SBIN0000691,110002087,NEW DELHI MAIN BRANCH,"11SANSAD MARG, NEW DELHI 110 001",DELHI,,True,True,NEW DELHI,NEW DELHI,NEW DELHI,True,True,SBININBB104,IN-DL,State Bank of India,SBIN,691
SBIN0000300,400002010,MUMBAI MAIN,MUMBAI,MAHARASHTRA,,True,True,MUMBAI,GREATER BOMBAY,GREATER BOMBAY,True,True,SBININBB110,IN-MH,State Bank of India,SBIN,300
SBIN0000001,700002021,KOLKATA MAIN,"SAMRIDDHI BHAWAN, 1 STRAND ROAD, KOLKATA 700 001",WEST BENGAL,,True,True,KOLKATA,KOLKATA,KOLKATA,True,True,,IN-WB,State Bank of India,SBIN,1
SBIN0000152,800002045,PATNA MAIN,"WEST OF GANDHI MAIDAN, PATNA-800001",BIHAR,,True,True,PATNA,PATNA,PATNA,True,True,SBININBB156,IN-BR,State Bank of India,SBIN,152
SBIN0000125,226002002,LUCKNOW MAIN BR.,"MOTI MAHAL MARG, HAZARATGANJ, LUCKNOW",UTTAR PRADESH,,True,True,LUCKNOW,LUCKNOW,LUCKNOW,True,True,SBININBB157,IN-UP,State Bank of India,SBIN,125
SBIN0000628,160002020,CHANDIGARH MAIN,"SECTOR 17, CHANDIGARH. PINCODE 160017",CHANDIGARH,,True,True,CHANDIGARH,CHANDIGARH,CHANDIGARH,True,True,,IN-CH,State Bank of India,SBIN,628
SBIN0000167,834002002,RANCHI,"COURT COMPOUND,RANCHI- 834 001",JHARKHAND,,True,True,RANCHI BRANCH,RANCHI,RANCHI,True,True,SBININBB560,IN-JH,State Bank of India,SBIN,167
SBIN0002295,190002003,BADAMI BAGH CANTT SRINAGAR,"BADAMI.BAGH.CANTONMENT,SRINAGAR.PIN.190001",JAMMU AND KASHMIR,,True,True,SRINAGAR,SRINAGAR,SRINAGAR,True,True,,IN-JK,State Bank of India,SBIN,2295
SBIN0000041,751002002,BHUBANESWAR,"UNIT-1, NEAR CAPITAL POLICE STATION, BHUBANESWAR-751001",ODISHA,,True,True,BHUBANESWAR,KHURDA,KHURDA,True,True,SBININBB270,IN-OR,State Bank of India,SBIN,41
SBIN0000509,403002005,PANAJI,"OPP. HOTEL MANDOVI, D. B. MARG, PANAJI- GOA, 403 001",GOA,,True,True,PANAJI,NORTH GOA,NORTH GOA,True,True,SBININBB366,IN-GA,State Bank of India,SBIN,509
SBIN0000232,737002002,GANTOK,"M.G.MARG,GANGTOK737101",SIKKIM,,True,True,GANGTOK,EAST SIKKIM,EAST SIKKIM,True,True,SBININBB338,IN-SK,State Bank of India,SBIN,232
SBIN0000078,781002002,GUWAHATI MAIN,"PAN BAZAR GUWAHATI, ASSAM 781001",ASSAM,,True,True,GUWAHATI,KAMRUP,KAMRUP,True,True,SBININBB159,IN-AS,State Bank of India,SBIN,78
SBIN0000813,560002057,BANGALORE,"POST BAG NO.5310, STATE BANK ROAD, BANGLORE 560001",KARNATAKA,,True,True,BANGLORE,BANGALORE URBAN,BANGALORE URBAN,True,True,SBININBB169,IN-KA,State Bank of India,SBIN,813
SBIN0001355,380002075,GANDHI NAGAR GUJRAT,"GANDHINAGAR,GUJARAT, 382010",GUJARAT,+917923220590,True,True,GANDHINAGAR,GANDHINAGAR,GANDHINAGAR,True,True,SBININBB255,IN-GJ,State Bank of India,SBIN,1355
SBIN0000461,492002002,RAIPUR MAIN,"JAI STAMBH CHOWK, RAIPUR, M.P.",CHANDIGARH,,True,True,RAIPUR,RAIPUR,RAIPUR,True,True,,IN-CH,State Bank of India,SBIN,461
SBIN0000941,695002002,THIRUVANATHAPURAM,"PB NO. 14, M G ROAD, TRIVANDRUM, 695001",KERALA,+914712478252,True,True,TRIVANDRUM,TRIVANDRUM,TRIVANDRUM,True,True,SBININBB398,IN-KL,State Bank of India,SBIN,941
SBIN0000656,302002002,JAIPUR MAIN,"SANGANERI GATE, JAIPUR.",RAJASTHAN,+911414096202,True,True,JAIPUR,JAIPUR,JAIPUR,True,True,SBININBB154,IN-RJ,State Bank of India,SBIN,656
SBIN0001308,462002002,BHOPAL,"TT NAGAR, BHOPAL,MP",MADHYA PRADESH,,True,True,BHOPAL,BHOPAL,BHOPAL,True,True,SBININBB268,IN-MP,State Bank of India,SBIN,1308
SBIN0000952,530002002,VISAKHAPATNAM,"REDNAM GARDENS, VISAKHAPATNAM , ANDHRA PRADESH 530002",ANDHRA PRADESH,,True,True,VISAKHAPATNAM,VISHAKAPATNAM,VISHAKAPATNAM,True,True,SBININBB326,IN-AP,State Bank of India,SBIN,952
